0x82578A9C  DbgBreakPoint
0x8257839C  DbgPrint
0x8257850C  ExCreateThread
0x8257869C  ExGetXConfigSetting
0x8257844C  ExRegisterTitleTerminateNotification
0x82578CEC  ExTerminateThread
0x82578CDC  HalReturnToFirmware
0x8257845C  KeAcquireSpinLockAtRaisedIrql
0x82578D0C  KeBugCheck
0x82578C6C  KeBugCheckEx
0x82578CBC  KeDelayExecutionThread
0x8257873C  KeEnterCriticalRegion
0x825783CC  KeGetCurrentProcessType
0x8257851C  KeInitializeSemaphore
0x8257870C  KeLeaveCriticalRegion
0x825787BC  KeLockL2
0x8257855C  KeQueryPerformanceFrequency
0x82578E4C  KeQuerySystemTime
0x8257846C  KeRaiseIrqlToDpcLevel
0x8257849C  KeReleaseSemaphore
0x8257848C  KeReleaseSpinLockFromRaisedIrql
0x8257842C  KeResetEvent
0x825784DC  KeResumeThread
0x82578AEC  KeSetAffinityThread
0x825784EC  KeSetBasePriorityThread
0x8257841C  KeSetEvent
0x82578D1C  KeTlsAlloc
0x82578D4C  KeTlsFree
0x82578D2C  KeTlsGetValue
0x82578D3C  KeTlsSetValue
0x825787CC  KeUnlockL2
0x825784CC  KeWaitForMultipleObjects
0x8257840C  KeWaitForSingleObject
0x825785EC  KfAcquireSpinLock
0x8257847C  KfLowerIrql
0x825785DC  KfReleaseSpinLock
0x825785FC  KiApcNormalRoutineNop
0x825785BC  MmAllocatePhysicalMemoryEx
0x8257856C  MmFreePhysicalMemory
0x8257852C  MmGetPhysicalAddress
0x82578B6C  MmQueryAddressProtect
0x82578B5C  MmQueryAllocationSize
0x82578BFC  MmQueryStatistics
0x825788CC  NetDll_WSACleanup
0x825788BC  NetDll_WSAStartup
0x82578C5C  NtAllocateVirtualMemory
0x82578C1C  NtClearEvent
0x82578A8C  NtClose
0x82578B4C  NtCreateEvent
0x82578ACC  NtCreateFile
0x82578BAC  NtCreateMutant
0x82578C3C  NtCreateSemaphore
0x82578E6C  NtFlushBuffersFile
0x82578C7C  NtFreeVirtualMemory
0x82578AFC  NtOpenFile
0x82578C2C  NtPulseEvent
0x82578CAC  NtQueryDirectoryFile
0x82578BCC  NtQueryInformationFile
0x82578BEC  NtQueryVirtualMemory
0x82578BDC  NtQueryVolumeInformationFile
0x82578B2C  NtReadFile
0x82578B7C  NtReleaseMutant
0x82578C4C  NtReleaseSemaphore
0x82578C0C  NtResumeThread
0x82578B8C  NtSetEvent
0x82578BBC  NtSetInformationFile
0x82578ADC  NtSuspendThread
0x82578B0C  NtWaitForSingleObjectEx
0x82578B1C  NtWriteFile
0x82578B9C  NtYieldExecution
0x8257879C  ObCreateSymbolicLink
0x8257878C  ObDeleteSymbolicLink
0x8257838C  ObDereferenceObject
0x825784FC  ObReferenceObjectByHandle
0x82578D5C  RtlCaptureContext
0x82578C8C  RtlCompareMemoryUlong
0x8257835C  RtlEnterCriticalSection
0x8257877C  RtlFillMemoryUlong
0x82578CCC  RtlImageXexHeaderField
0x825787AC  RtlInitAnsiString
0x8257837C  RtlInitializeCriticalSection
0x8257836C  RtlLeaveCriticalSection
0x82578B3C  RtlMultiByteToUnicodeN
0x8257843C  RtlNtStatusToDosError
0x82578C9C  RtlRaiseException
0x82578E7C  RtlTimeFieldsToTime
0x82578E5C  RtlTimeToTimeFields
0x825783FC  RtlTryEnterCriticalSection
0x82578CFC  RtlUnwind
0x8257875C  VdCallGraphicsNotificationRoutines
0x825785CC  VdEnableDisableClockGating
0x8257860C  VdEnableRingBufferRPtrWriteBack
0x8257866C  VdGetCurrentDisplayGamma
0x825786BC  VdGetCurrentDisplayInformation
0x8257864C  VdGetSystemCommandBuffer
0x825786EC  VdInitializeEngines
0x8257861C  VdInitializeRingBuffer
0x8257876C  VdInitializeScalerCommandBuffer
0x825786FC  VdIsHSIOTrainingSucceeded
0x825785AC  VdPersistDisplay
0x8257874C  VdQueryVideoFlags
0x825786AC  VdQueryVideoMode
0x8257871C  VdRetrainEDRAM
0x8257872C  VdRetrainEDRAMWorker
0x825786CC  VdSetDisplayMode
0x825786DC  VdSetGraphicsInterruptCallback
0x8257862C  VdSetSystemCommandBufferGpuIdentifierAddress
0x8257868C  VdShutdownEngines
0x8257863C  VdSwap
0x825784AC  XAudioGetVoiceCategoryVolume
0x825784BC  XAudioGetVoiceCategoryVolumeChangeMask
0x8257857C  XAudioRegisterRenderDriverClient
0x8257859C  XAudioSubmitRenderDriverFrame
0x8257858C  XAudioUnregisterRenderDriverClient
0x82578A2C  XGetAVPack
0x8257898C  XGetGameRegion
0x82578A1C  XGetLanguage
0x8257880C  XGetVideoMode
0x8257854C  XMACreateContext
0x82578D9C  XMADisableContext
0x82578D6C  XMAEnableContext
0x82578DFC  XMAGetInputBufferReadOffset
0x82578DEC  XMAGetOutputBufferReadOffset
0x82578DDC  XMAGetOutputBufferWriteOffset
0x82578D8C  XMAInitializeContext
0x82578E3C  XMAIsInputBuffer0Valid
